DATE,WPU083
2003-12-01,192.1
2004-01-01,174.4
2004-02-01,202.5
2004-03-01,218.5
2004-04-01,222.6
2004-05-01,224.4
2004-06-01,200.8
2004-07-01,178.6
2004-08-01,203.1
2004-09-01,208.3
2004-10-01,189.0
2004-11-01,173.9
2004-12-01,185.5
2005-01-01,187.0
2005-02-01,191.5
2005-03-01,187.8
2005-04-01,183.8
2005-05-01,174.0
2005-06-01,186.3
2005-07-01,181.9
2005-08-01,176.8
2005-09-01,200.1
2005-10-01,211.6
2005-11-01,180.7
2005-12-01,180.2
2006-01-01,181.9
2006-02-01,179.6
2006-03-01,180.2
2006-04-01,182.4
2006-05-01,176.3
2006-06-01,173.3
2006-07-01,173.5
2006-08-01,166.8
2006-09-01,166.5
2006-10-01,161.7
2006-11-01,164.2
2006-12-01,165.2
2007-01-01,168.0
2007-02-01,169.4
2007-03-01,170.2
2007-04-01,172.8
2007-05-01,177.1
2007-06-01,179.9
2007-07-01,181.5
2007-08-01,181.1
2007-09-01,180.7
2007-10-01,177.2
2007-11-01,177.5
2007-12-01,177.2
2008-01-01,174.3
2008-02-01,173.0
2008-03-01,173.3
2008-04-01,173.2
2008-05-01,177.8
2008-06-01,179.3
2008-07-01,176.2
2008-08-01,174.9
2008-09-01,178.5
2008-10-01,175.3
2008-11-01,172.5
2008-12-01,168.6
2009-01-01,165.9
2009-02-01,165.3
2009-03-01,163.9
2009-04-01,160.9
2009-05-01,161.5
2009-06-01,160.3
2009-07-01,163.0
2009-08-01,164.4
2009-09-01,166.7
2009-10-01,163.9
2009-11-01,164.1
2009-12-01,164.9
2010-01-01,164.3
2010-02-01,168.3
2010-03-01,172.9
2010-04-01,188.0
2010-05-01,195.7
2010-06-01,186.3
2010-07-01,181.5
2010-08-01,177.2
2010-09-01,174.1
2010-10-01,171.9
2010-11-01,169.1
2010-12-01,170.6
2011-01-01,174.1
2011-02-01,175.7
2011-03-01,175.0
2011-04-01,177.7
2011-05-01,168.7
2011-06-01,167.2
2011-07-01,165.2
2011-08-01,165.8
2011-09-01,168.6
2011-10-01,173.2
2011-11-01,171.1
2011-12-01,173.2
2012-01-01,175.9
2012-02-01,180.7
2012-03-01,185.8
2012-04-01,189.2
2012-05-01,189.4
2012-06-01,189.8
2012-07-01,189.8
2012-08-01,193.0
2012-09-01,197.2
2012-10-01,192.6
2012-11-01,192.0
2012-12-01,193.4
2013-01-01,198.2
2013-02-01,200.7
2013-03-01,204.7
2013-04-01,207.9
2013-05-01,206.8
2013-06-01,200.0
2013-07-01,193.9
2013-08-01,197.2
2013-09-01,197.1
2013-10-01,197.9
2013-11-01,196.0
2013-12-01,194.3
2014-01-01,195.1
2014-02-01,195.0
2014-03-01,197.5
2014-04-01,197.2
2014-05-01,200.9
2014-06-01,200.1
2014-07-01,205.3
2014-08-01,214.7
2014-09-01,210.9
2014-10-01,211.6
2014-11-01,212.0
2014-12-01,208.6
2015-01-01,206.0
2015-02-01,202.8
2015-03-01,203.7
2015-04-01,203.4
2015-05-01,200.1
2015-06-01,198.9
2015-07-01,197.6
2015-08-01,194.9
2015-09-01,194.2
2015-10-01,197.0
2015-11-01,195.1
2015-12-01,193.1
2016-01-01,193.2
2016-02-01,190.2
2016-03-01,190.7
2016-04-01,191.8
2016-05-01,191.0
2016-06-01,194.0
2016-07-01,196.8
2016-08-01,198.2
2016-09-01,194.6
2016-10-01,191.0
2016-11-01,187.4
2016-12-01,188.9
2017-01-01,189.9
2017-02-01,192.4
2017-03-01,198.6
2017-04-01,201.7
2017-05-01,202.5
2017-06-01,200.2
2017-07-01,198.6
2017-08-01,202.1
2017-09-01,206.2
2017-10-01,218.7
2017-11-01,220.9
2017-12-01,218.1
2018-01-01,219.8
2018-02-01,227.9
2018-03-01,236.5
2018-04-01,236.6
